"date","run","replicate","location","value","site"
"14/09/2017",2,3,"BBN",23,"NorthShore"
"14/09/2017",3,1,"BBN",13,"NorthShore"
"14/09/2017",3,2,"BBN",13,"NorthShore"
"14/09/2017",3,3,"BBN",15,"NorthShore"
"18/09/2017",1,1,"BBN",185,"NorthShore"
"18/09/2017",1,2,"BBN",228,"NorthShore"
"18/09/2017",1,3,"BBN",137,"NorthShore"
"18/09/2017",2,1,"BBN",21,"NorthShore"
"18/09/2017",2,2,"BBN",23,"NorthShore"
"18/09/2017",2,3,"BBN",22,"NorthShore"
"18/09/2017",3,1,"BBN",12,"NorthShore"
"18/09/2017",3,2,"BBN",12,"NorthShore"
"18/09/2017",3,3,"BBN",16,"NorthShore"
"27/09/2017",1,1,"BBN",47,"NorthShore"
"27/09/2017",1,2,"BBN",89,"NorthShore"
"27/09/2017",1,3,"BBN",42,"NorthShore"
"27/09/2017",2,1,"BBN",113,"NorthShore"
"27/09/2017",2,2,"BBN",176,"NorthShore"
"27/09/2017",2,3,"BBN",137,"NorthShore"
"27/09/2017",3,1,"BBN",69,"NorthShore"
"27/09/2017",3,2,"BBN",45,"NorthShore"
"27/09/2017",3,3,"BBN",43,"NorthShore"
"3/08/2017",1,1,"BBC",43,"NorthShore"
"3/08/2017",1,2,"BBC",92,"NorthShore"
"3/08/2017",1,3,"BBC",57,"NorthShore"
"3/08/2017",2,1,"BBC",67,"NorthShore"
"3/08/2017",2,2,"BBC",45,"NorthShore"
"3/08/2017",2,3,"BBC",45,"NorthShore"
"3/08/2017",3,1,"BBC",34,"NorthShore"
"3/08/2017",3,2,"BBC",34,"NorthShore"
"3/08/2017",3,3,"BBC",15,"NorthShore"
"9/08/2017",1,1,"BBC",342,"NorthShore"
"9/08/2017",1,2,"BBC",447,"NorthShore"
"9/08/2017",1,3,"BBC",626,"NorthShore"
"9/08/2017",2,1,"BBC",190,"NorthShore"
"9/08/2017",2,2,"BBC",99,"NorthShore"
"9/08/2017",2,3,"BBC",67,"NorthShore"
"9/08/2017",3,1,"BBC",610,"NorthShore"
"9/08/2017",3,2,"BBC",605,"NorthShore"
"9/08/2017",3,3,"BBC",541,"NorthShore"
"18/08/2017",1,1,"BBC",13,"NorthShore"
"18/08/2017",1,2,"BBC",12,"NorthShore"
"18/08/2017",1,3,"BBC",16,"NorthShore"
"18/08/2017",2,1,"BBC",21,"NorthShore"
"18/08/2017",2,2,"BBC",14,"NorthShore"
"18/08/2017",2,3,"BBC",12,"NorthShore"
"18/08/2017",3,1,"BBC",11,"NorthShore"
"18/08/2017",3,2,"BBC",14,"NorthShore"
"18/08/2017",3,3,"BBC",15,"NorthShore"
"28/08/2017",2,1,"BBC",12,"NorthShore"
"28/08/2017",2,2,"BBC",23,"NorthShore"
"28/08/2017",2,3,"BBC",80,"NorthShore"
"28/08/2017",3,1,"BBC",16,"NorthShore"
"28/08/2017",3,2,"BBC",14,"NorthShore"
"28/08/2017",3,3,"BBC",36,"NorthShore"
"14/09/2017",1,1,"BBC",15,"NorthShore"
"14/09/2017",1,2,"BBC",15,"NorthShore"
"14/09/2017",1,3,"BBC",13,"NorthShore"
"14/09/2017",2,1,"BBC",13,"NorthShore"
"14/09/2017",2,2,"BBC",13,"NorthShore"
"14/09/2017",2,3,"BBC",13,"NorthShore"
"14/09/2017",3,1,"BBC",14,"NorthShore"
"14/09/2017",3,2,"BBC",13,"NorthShore"
"14/09/2017",3,3,"BBC",14,"NorthShore"
"18/09/2017",1,1,"BBC",8,"NorthShore"
"18/09/2017",1,2,"BBC",36,"NorthShore"
"18/09/2017",1,3,"BBC",32,"NorthShore"
"18/09/2017",2,1,"BBC",12,"NorthShore"
"18/09/2017",2,2,"BBC",15,"NorthShore"
"18/09/2017",2,3,"BBC",13,"NorthShore"
"18/09/2017",3,1,"BBC",16,"NorthShore"
"18/09/2017",3,2,"BBC",12,"NorthShore"
"18/09/2017",3,3,"BBC",13,"NorthShore"
"27/09/2017",1,1,"BBC",56,"NorthShore"
"27/09/2017",1,2,"BBC",62,"NorthShore"
"27/09/2017",1,3,"BBC",99,"NorthShore"
"27/09/2017",2,1,"BBC",12,"NorthShore"
"27/09/2017",2,2,"BBC",12,"NorthShore"
"27/09/2017",2,3,"BBC",15,"NorthShore"
"27/09/2017",3,1,"BBC",10,"NorthShore"
"27/09/2017",3,2,"BBC",14,"NorthShore"
"27/09/2017",3,3,"BBC",11,"NorthShore"
"3/08/2017",1,1,"BBS",36,"NorthShore"
"3/08/2017",1,2,"BBS",53,"NorthShore"
"3/08/2017",1,3,"BBS",15,"NorthShore"
"3/08/2017",2,1,"BBS",46,"NorthShore"
"3/08/2017",2,2,"BBS",42,"NorthShore"
"3/08/2017",2,3,"BBS",32,"NorthShore"
"3/08/2017",3,1,"BBS",25,"NorthShore"
"3/08/2017",3,2,"BBS",39,"NorthShore"
"3/08/2017",3,3,"BBS",54,"NorthShore"
"9/08/2017",1,1,"BBS",141,"NorthShore"
"9/08/2017",1,2,"BBS",140,"NorthShore"
"9/08/2017",1,3,"BBS",280,"NorthShore"
"9/08/2017",2,1,"BBS",192,"NorthShore"
"9/08/2017",2,2,"BBS",220,"NorthShore"
"9/08/2017",2,3,"BBS",233,"NorthShore"
"9/08/2017",3,1,"BBS",818,"NorthShore"
"9/08/2017",3,2,"BBS",646,"NorthShore"
"9/08/2017",3,3,"BBS",735,"NorthShore"
"18/08/2017",1,1,"BBS",22,"NorthShore"
"18/08/2017",1,2,"BBS",65,"NorthShore"
"18/08/2017",1,3,"BBS",23,"NorthShore"
"18/08/2017",2,1,"BBS",25,"NorthShore"
"18/08/2017",2,2,"BBS",23,"NorthShore"
"18/08/2017",2,3,"BBS",56,"NorthShore"
"18/08/2017",3,1,"BBS",12,"NorthShore"
"18/08/2017",3,2,"BBS",82,"NorthShore"
"18/08/2017",3,3,"BBS",11,"NorthShore"
"28/08/2017",1,1,"BBS",161,"NorthShore"
"28/08/2017",1,2,"BBS",123,"NorthShore"
"28/08/2017",1,3,"BBS",149,"NorthShore"
"28/08/2017",2,1,"BBS",89,"NorthShore"
"28/08/2017",2,2,"BBS",89,"NorthShore"
"28/08/2017",2,3,"BBS",62,"NorthShore"
"28/08/2017",3,1,"BBS",124,"NorthShore"
"28/08/2017",3,2,"BBS",166,"NorthShore"
"28/08/2017",3,3,"BBS",203,"NorthShore"
"14/09/2017",1,1,"BBS",15,"NorthShore"
"14/09/2017",1,2,"BBS",14,"NorthShore"
"14/09/2017",1,3,"BBS",16,"NorthShore"
"14/09/2017",2,1,"BBS",14,"NorthShore"
"14/09/2017",2,2,"BBS",13,"NorthShore"
"14/09/2017",2,3,"BBS",12,"NorthShore"
"14/09/2017",3,1,"BBS",12,"NorthShore"
"14/09/2017",3,2,"BBS",13,"NorthShore"
"14/09/2017",3,3,"BBS",16,"NorthShore"
